"state","a_name","a_lat","a_lng","b_name","b_lat","b_lng"
"AK","Adak","51.88","-176.65806","Amchitka","51.56722","178.8775"
"AL","Long Island","34.97369","-85.67108","Dauphin Island","30.25548","-88.10972"
"TX","Vinton Acres Number 1 Colonia","31.96205","-106.6186","Toledo","31.17435","-93.56129"
"SC","Little River","33.87323","-78.61418","Battle Creek","34.74815","-83.29016"
"VA","Gibson Station","36.60425","-83.59741","Deep Hole","37.93735","-75.35325"
"WV","Lower Town","39.32316","-77.73027","Hewlet","38.16759","-82.62682"
"MS","Pinckneyville","31.01601","-91.48095","Eastport","34.88564","-88.10059"
"KS","Kanorado","39.33305","-102.03796","East Galena","37.07284","-94.62912"
"AR","Lanesport","33.64928","-94.47298","Hickman Landing","35.94285","-89.6873"
"FL","Pineville","30.8988","-87.58249","Garden Cove","25.17318","-80.36811"
"DE","Fenwick Estates","38.45233","-75.05046","Auburn","39.80844","-75.68854"
"GA","Greyfield","30.77829","-81.4662","Cole City","34.95202","-85.56802"
"IL","East Dubuque","42.49223","-90.64291","New Liberty","37.122","-88.44782"
"IN","Clear Lake","41.73755","-84.83329","Oak Grove","37.83616","-88.0217"
"MD","Sand Spring","39.67258","-79.45948","North Ocean City","38.374","-75.0699"
"KY","Ash Log","36.55995","-89.37936","Woodman","37.52122","-82.04457"
"LA","Three States","33.0193","-94.04268","South Pass","28.99467","-89.14282"
"MO","Sonora","40.49806","-95.65944","Dorena Landing","36.58423","-89.21729"
"OH","Theil's Mobile Home Park","41.94","-80.53167","Finney","39.11895","-84.78856"
"NC","Wolf Creek","35.01369","-84.30381","Steeple","35.57379","-75.45377"
"NJ","Duttonville","41.35148","-74.686","Cape May Point","38.93733","-74.96934"
"PA","Matamoras","41.3687","-74.70016","Mount Carmel","39.77175","-80.51147"
"OK","Kenton","36.90308","-102.96326","Eastport","33.789","-94.48187"
"TN","Sugar Creek","36.59817","-81.72789","Darwin","35.02037","-90.11732"
"DC","Potomac Heights","38.92761","-77.10776","Northeast Boundary","38.89261","-76.91636"
"IA","Lyons","41.86725","-90.18624","Granite","43.46886","-96.55643"
"CT","Byram","41.00426","-73.65374","East Thompson","42.00899","-71.80868"
"WI","State Line","42.49447","-87.82091","Riverview","46.67633","-92.18519"
"MA","State Line","42.34786","-73.40928","Hoicks Hollow","41.28762","-69.97168"
"ME","Keegan","47.18699","-67.95753","Green Acre","43.11203","-70.79533"
"MI","Camp Dejacket","46.5855","-90.28101","Algonac","42.61858","-82.5323"
"MN","Noyes","48.99749","-97.20451","Jefferson","43.51414","-91.28041"
"NE","Story","42.92997","-103.93854","Rulo","40.05195","-95.42693"
"ND","Alkabo","48.86281","-103.89021","Blackmer","45.97885","-96.60063"
"NY","State Line","42.2445","-79.75866","Ditch Plains","41.04066","-71.91785"
"NH","Idlewilde","45.15144","-71.17896","Dole Junction","42.75453","-72.46898"
"SD","Camp Crook","45.55027","-103.97466","Dakota Dunes","42.48749","-96.48642"
"RI","Isaacs Corner","41.16427","-71.58006","Grants Mills","42.00833","-71.41611"
"VT","Pownal","42.76564","-73.23594","Beecher Falls","45.0081","-71.50786"
"AZ","Teec Nos Pos","36.92111","-109.08566","San Luis","32.487","-114.78218"
"CA","Yontocket","41.90761","-124.19897","Bard","32.78921","-114.55606"
"CO","Craig Place","40.72024","-108.95428","Midway","37.14919","-102.18601"
"NM","Moses","36.71225","-103.06021","Garcia","31.334","-108.8631"
"NV","Wimer Place","41.79823","-119.72633","Laughlin","35.16778","-114.57302"
"UT","Etna","41.67159","-113.95446","Aneth","37.21611","-109.18706"
"ID","Nordman","48.63393","-116.94727","Border","42.18299","-111.04741"
"MT","Yakt","48.5455","-115.96879","Capitol","45.4361","-104.06549"
"OR","Pistol River","42.27706","-124.39483","Imnaha","45.55932","-116.83321"
"WA","Rogersburg","46.07821","-116.97959","Classet","48.38645","-124.67691"
"WY","Colony","44.86999","-104.15522","Almy","41.33161","-111.00463"
"HI","Pualaa","19.46892","-154.83294","Ki‘eki‘e","21.88552","-160.22033"